hotel_name,location,price,rating,score,review,link
BLESS INN - Near Connaught Place,"Paharganj, New Delhi (Chandni Chowk)","₹ 2,181",Very Good ,8.3,989 reviews,https://www.booking.com/hotel/in/bless-inn-new-delhi1.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=769646501_390857682_0_42_0_894032&highlighted_blocks=769646501_390857682_0_42_0_894032&matching_block_id=769646501_390857682_0_42_0_894032&sr_pri_blocks=769646501_390857682_0_42_0_894032_218100&from=searchresults
ibis New Delhi Aerocity - An Accor Brand,"Aerocity, New Delhi (Aerocity)","₹ 8,000",Good ,7.0,"8,460 reviews",https://www.booking.com/hotel/in/ibis-delhi-airport.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=41988402_403971689_2_42_0_815176&highlighted_blocks=41988402_403971689_2_42_0_815176&matching_block_id=41988402_403971689_2_42_0_815176&sr_pri_blocks=41988402_403971689_2_42_0_815176_800000&from_sustainable_property_sr=1&from=searchresults
Hotel Star Villa - Front of New Delhi Railway Station & 5 Minute from Connaught Place,"Paharganj, New Delhi (Chandni Chowk)","₹ 1,887",Good ,7.7,691 reviews,https://www.booking.com/hotel/in/star-villa-new-delhi.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=1180484401_390850205_2_42_0_894031&highlighted_blocks=1180484401_390850205_2_42_0_894031&matching_block_id=1180484401_390850205_2_42_0_894031&sr_pri_blocks=1180484401_390850205_2_42_0_894031_188736&from=searchresults
Hotel Krishna Plaza 'New Delhi' - BY M S Hospitality,"Paharganj, New Delhi (Chandni Chowk)","₹ 3,150",Very Good ,8.5,995 reviews,https://www.booking.com/hotel/in/krishna-plaza.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=57831610_411745508_2_42_0_545416&highlighted_blocks=57831610_411745508_2_42_0_545416&matching_block_id=57831610_411745508_2_42_0_545416&sr_pri_blocks=57831610_411745508_2_42_0_545416_314955&from=searchresults
The Vanson Pride Delhi,"Paharganj, New Delhi (Chandni Chowk)","₹ 2,040",Very Good ,8.2,677 reviews,https://www.booking.com/hotel/in/the-vanson-pride-new-delhi.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=1198638801_392150211_2_2_0_404549&highlighted_blocks=1198638801_392150211_2_2_0_404549&matching_block_id=1198638801_392150211_2_2_0_404549&sr_pri_blocks=1198638801_392150211_2_2_0_404549_204000&from=searchresults
Novotel New Delhi Aerocity,"Aerocity, New Delhi (Aerocity)","₹ 9,441",Good ,7.8,"4,016 reviews",https://www.booking.com/hotel/in/novotel-new-delhi-aerocity.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=127933402_94586327_2_42_0&highlighted_blocks=127933402_94586327_2_42_0&matching_block_id=127933402_94586327_2_42_0&sr_pri_blocks=127933402_94586327_2_42_0__944100&from=searchresults
Hotel Palace Heights,"Connaught Place, New Delhi","₹ 5,850",Very Good ,8.1,892 reviews,https://www.booking.com/hotel/in/palace-heights.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=32854301_271943091_2_1_0&highlighted_blocks=32854301_271943091_2_1_0&matching_block_id=32854301_271943091_2_1_0&sr_pri_blocks=32854301_271943091_2_1_0__585000&from=searchresults
The Dream House,"Safdarjung Enclave, New Delhi","₹ 2,911",Very Good ,8.2,355 reviews,https://www.booking.com/hotel/in/dream-house-b-and-b.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=670757101_352119436_2_2_0&highlighted_blocks=670757101_352119436_2_2_0&matching_block_id=670757101_352119436_2_2_0&sr_pri_blocks=670757101_352119436_2_2_0__291120&from=searchresults
Novotel New Delhi City Centre,"Central Delhi, New Delhi","₹ 8,500",Very Good ,8.4,79 reviews,https://www.booking.com/hotel/in/novotel-new-delhi-city-centre.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=1308662101_407776627_2_0_0&highlighted_blocks=1308662101_407776627_2_0_0&matching_block_id=1308662101_407776627_2_0_0&sr_pri_blocks=1308662101_407776627_2_0_0__850000&from=searchresults
The Leela Palace New Delhi,New Delhi,"₹ 19,500",Wonderful ,9.4,"1,776 reviews",https://www.booking.com/hotel/in/the-leela-palace-new-delhi.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=25017601_414203401_2_42_0_1079862&highlighted_blocks=25017601_414203401_2_42_0_1079862&matching_block_id=25017601_414203401_2_42_0_1079862&sr_pri_blocks=25017601_414203401_2_42_0_1079862_1950000&from_sustainable_property_sr=1&from=searchresults
Hyatt Regency Delhi,New Delhi,"₹ 11,000",Very Good ,8.3,"1,468 reviews",https://www.booking.com/hotel/in/hyatt-regency-delhi.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=34266561_269951035_2_42_0&highlighted_blocks=34266561_269951035_2_42_0&matching_block_id=34266561_269951035_2_42_0&sr_pri_blocks=34266561_269951035_2_42_0__1100000&from_sustainable_property_sr=1&from=searchresults
The Leena Interntional-Traveller's Choice Top Winner 2025,"Paharganj, New Delhi (Chandni Chowk)","₹ 2,699",Very Good ,8.3,73 reviews,https://www.booking.com/hotel/in/alstone-plaza.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=1340982001_406505967_2_2_0&highlighted_blocks=1340982001_406505967_2_2_0&matching_block_id=1340982001_406505967_2_2_0&sr_pri_blocks=1340982001_406505967_2_2_0__269946&from=searchresults
The Natraj Yes Please -New Delhi,"Paharganj, New Delhi (Chandni Chowk)","₹ 2,200",Very Good ,8.3,155 reviews,https://www.booking.com/hotel/in/natraj-yes-please.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=80392110_400721753_2_42_0_873442&highlighted_blocks=80392110_400721753_2_42_0_873442&matching_block_id=80392110_400721753_2_42_0_873442&sr_pri_blocks=80392110_400721753_2_42_0_873442_220000&from=searchresults
HOTEL SHANDON-2 Mins From Connaught Place,"Paharganj, New Delhi (Chandni Chowk)","₹ 3,825",Excellent ,8.7,254 reviews,https://www.booking.com/hotel/in/shandon-2-mins-from-connaught-place.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=1283842102_401323693_2_2_0_665272&highlighted_blocks=1283842102_401323693_2_2_0_665272&matching_block_id=1283842102_401323693_2_2_0_665272&sr_pri_blocks=1283842102_401323693_2_2_0_665272_382500&from=searchresults
The Viking - Luxury living steps away from New Delhi & Connaught Place,"Paharganj, New Delhi (Chandni Chowk)","₹ 3,599",Very Good ,8.5,261 reviews,https://www.booking.com/hotel/in/the-viking-new-delhi.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=38324a8b94fb09ab&srepoch=1749983769&all_sr_blocks=1332390202_405754945_2_42_0_901195&highlighted_blocks=1332390202_405754945_2_42_0_901195&matching_block_id=1332390202_405754945_2_42_0_901195&sr_pri_blocks=1332390202_405754945_2_42_0_901195_359900&from=searchresults
