hotel_name,location,price,rating,score,review,link
Hotel Galaxy Suites Hebbal,Bangalore,"₹ 1,314",Good ,7.5,117 reviews,https://www.booking.com/hotel/in/treebo-trend-galaxy-suites-hebbal.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=af404f13b3630c1b&srepoch=1749986088&all_sr_blocks=810893802_397219086_2_2_0_35274&highlighted_blocks=810893802_397219086_2_2_0_35274&matching_block_id=810893802_397219086_2_2_0_35274&sr_pri_blocks=810893802_397219086_2_2_0_35274_131360&from=searchresults
Bengaluru Marriott Hotel Whitefield,"Whitefield, Bangalore","₹ 22,500",Very Good ,8.4,90 reviews,https://www.booking.com/hotel/in/bengaluru-marriott-whitefield.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=af404f13b3630c1b&srepoch=1749986088&all_sr_blocks=47421708_378646232_2_42_0&highlighted_blocks=47421708_378646232_2_42_0&matching_block_id=47421708_378646232_2_42_0&sr_pri_blocks=47421708_378646232_2_42_0__2250000&nad_id=ecf81fdf-96f6-4334-a1e1-681f847138ba_0&nad_cpc=0.65&nad_track=eyJhdWN0aW9uRXBvY2giOjE3NDk5ODYwODc1MTAsInJhbmsiOjEsImtvZGRpVHJhY2tpbmdJbmZvIjoiUFhSM1lFSGRDc0xNT1VFb0NpaDlscTNZYnJQL3lwWTVDZXhyZ0pHbm94d2lpdjAxc1lNRk1Jc09ISnZDYTQwTjdtS2NjR21Hb3FoY1R6OEtsREpMamtHdUNYdU1VRlhVK0RXNU9ydUlUOUMxSnUxREJkeGtPU29PZzlmQ1VhcnhoRGdUK09rVC9GYWt0RjdFWHlPdU9GTXBEak9Ib3pUVm9RSUlUcjUvMU1tVW51WVA3bmhXTjBrcjhlZStDYm9IamkycFJBU1k4cE43ZmxuOUZNQzVVcHlUNEYwcWk5cVRwRkJOMm8wcWhtWkhiOCsyRUloSWVmQkVrcFRIbFJZaEFrTDY5K2txT0tKVkxZemVHN3BKVzJVRnVldHFEdUlWTXVJd1QrQmp3Rnp6cHdBYk5EL09KUzBIcGNlWWwrUU5tSkVvRGxGVHhRNHdjZmY3TDRjT0hwdVdML2xDdG01NTJGeWpuVEMxUk1kMHd5SU1KdGxaQVhuMzRKeXdhaytiN0hKVnNQcDBPRURGSkFzTVNzQlp6WXZUclpKUVQydWY4L0NQM3JtQVU3eGhPaE9CdmszZXBSZmppT2dDOHZuMkU3THQ1RlJyT09PWGlHZkJubnhhenlkOXlRTm5sT25hZ3NiVW43Y3RYbEdSTXZEeldsaXFoOTNXMFBGTnVuWGoyb2JJTjBFQ3FWQjNHQlFaNXMrcEhWb29kY2RNSEtGZjRqMENNaDVXUkN5LzNSVVRpRW1OMTRvK1BRRll2TW1nRzgrQTh6YWYzTU1iOFpIQUtqN2RKOEVtQlpCVW80UUMxaWw0NDRuSE5NKzZuRGtlNzZ6Y1duM244bFQ1djRxc1JsM0RMNVlqdkw0c0NXS3NzWVBBdTVtd1BmeDdTOVVHK0R1eDloNjlaS3c0cFNNZkZsdTB3TG1iZTk4SUszNFVDK2tLdEZoRzRRVGYzYjJuUGVhdHVFZm9SeWFweDdaVFNCWVJ2V2tWWk1KSGZLVTIyQWNyaW5sUm9ZemZlTVpUTkw5cjlvOEZIYjJna01OUFM2UzlhOW4xR1ZIV0xSS1JjdUVjanBCeGoxaGU5SmNtNm1KWGJQaSt3V08zSEYyWjlacWVBZURGR0JyTkZJL2xrSHd5ODl1VEFCaWVjaE9YVFF0a0Yra3B3M0RrZ2NnN2NLajUxc1pSemttNUhZWEdneDlUWHpHWWdOSG5lS0NGcE5KN1llTHplUzVEeURERm1PalJHRzJSbDdWRzhHcmVRVWVqK1NvTkhsTkYzL2tyOGJLSU9wMkUxbTZZd3BnM3ovUlJGL3pmOVo0SXpVNkFhZ2dUek8rR25TU3dYdzFBQU1nbHYvdFRuWXkzcWZVZUZHTkJibDZCbUlMcUlRaXVGV2hjOEFPVk8zVkF0VURDaUQyRUtYRmpmWStXbzBaZkVrUjFxWWlEM1hVeWFTbUpaeWE5SWx3SFNhTDNJOU1TdG5COHBkTXZFSzdvbDkrdFNxMXVjR245R1N1dlVFWE42NVRMcDdTMm1neVg0M3J6U1psbDRtMGZWL3ZNL28rK0RRcUlFMU5jc244bElPZWMvNE1nTFhyYlVhOENvOHlCY1hwZ090ZVFSMXRTdlRTUjNNNCtjeTZ2enpHYUVieFg1eXFienU4RTY1SVpWRGVLRTJ4eU5EQ2NGYS9DYWo3M2s3eGRXVkFnaGRZV0kyZjdtWnVpWTZRU0Fqa1R3ZS9HRndsNjhVVWFmZmYza1BZZTRtZ1hKdS9FdEJMa2dLV1l0YjhYbEV0SmREMmRaRVpESW9OQUpSRUtEK1pzMFdvZUk3aCtBMm5LSlZXajl4TkwzdDF0aXd3aEQ3RW14ZjVJNGMyQXlIak10am50d0lkVGlaT0tsSFYzUlo4QTlxKzNhR1l3YkN1U0s5SHJ2ZS9oRThZTXhlRlJHTFlVeCtDQndjS3pDalZvNGMrd3ErZUNWbTllSm1qMlIvRk1WaFlJcEJqcHpFSHVBdGppT0Z0dHBKS0RyRndEeTBKVFhmWU51Qm1NZGRKeTV4UzZSVlpueUlNdHJsZktpdHdsNFU2b0xTNWJ3ZldWQmt0YXB3b0l6K1RzUjNmbzdhNlBUTmYxVk9iSmtkNy9FbkJLSktTK1VMS1lpcVFza1dWSW1qWG5JNVJvb2tRdDdLYmF6SnNZY3RQWlYxY2kyK0JmblBvMGdrU2V3WWNjaWxSYStHK2N6T0pQVVQyeFI1MlVrOG1MWGVRRTVvT1RUQnNMQTlJVDQyK2lvUDB4K2M4L1l5Nzc4MmhiZGxDaGlMcU5UNUE2eldWRFJONEFta3QzbU5BRG9HRG8xNmh0Q0phN2JkTUgwQ1dqV0NJekt1NDBlTElmbWJ6b2JaZm1VQ1hnZE9wL1hlUWtUS0tvNktKR1VZUW5YNi9nWVJYUnE0RGprNUt1S3h1YmZGZlZMOE0yNDJPSHRZQUZBOWtlUy9rY0tPdDA4Wnd6OFkyc21yU1BuSTRKVVVzMysvUEphMlErSktnRDRNd2JlSE1XcHFVTzFJU2svY21HT01HU0RRY24xNXlDOTcvaGZ0c0dZK3ByUEFQeUxJSExvbXl1M3hNamdVSW5yUEE1REFDcXdQREREeHlnaHZqcnpWeXFPOSs4cXJHeHdsVmNIZVJSQmMxOEpzbHcrYW9FbXhFcGtlQm9pZlJGU1FRdHVHSWQ4VldIS1dRdFRieDFXeE1iMWlCV3RFcHlhQUNaKzdDbVhVaU5yU3d2bDU3N1VzQUVvd2pUWWoyMzR6RDlNR1drdFEvWUlPU2FhU0hNZWt6M29IRUpCbW51WGJHbGpnTmR5aVkvanlUa1d0UXFEeXd4Ky82bklualcyalpnWHV2bU93T2pGNzBaeDR1d3NRTjFwSDk0bmJhci9yS2V2dkVZTVhkRkE5Zjc2aVBWMjF3M2NmcFZ5YWFJUVdoK3ViS2s2VnBwOUtJd0oySlg1Z3NPd2NOSVhvRTdBWlZERW1RRkJ4Q2ZqeFJPeXgwYzF6bTNMNXBqUlVyUjg5SkdQdTZMS2FLT1Q0aTk3SGlZeVdVa0ZXeUlMeGdNY1cralRUVEVMd1RsWUJRMW9FbmJxSCtROEJzbmJEVTBBMGNVVU56Q0tFQXNKZGd2WmJhMFZNTVhMZ3k0Q1FPcHQwL04vWkNiaVZ2eFNLZm1BUitNbGZsMFVOTmJWVUFVNHdrRVFvajRmQlRDNnN0KzF6OGRMZFovN2NPL3dyejBtV05RKzNLZ0pwRmRpc2FwSmduSlN4M2xkUnUvdlFOQzA2U1FJZ29lUVFWTmFOU1hhU0pYQVFmZzZGT2l5OEI0Q2tMdUl0cCsyZU55aXYvTmNVTmthTlpKWS8raDhrNHdocHpVMUtKM3htOENvZE9QMFNYRVhWSEUxdTBzNUN5ODBoaFNadDE1TDV0cyJ9&from=searchresults
Udupi Residency,"Koramangala, Bangalore","₹ 1,500",Review score ,5.6,11 reviews,https://www.booking.com/hotel/in/udupi-residency-bengaluru12.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=af404f13b3630c1b&srepoch=1749986088&all_sr_blocks=807876701_342262656_2_0_0&highlighted_blocks=807876701_342262656_2_0_0&matching_block_id=807876701_342262656_2_0_0&sr_pri_blocks=807876701_342262656_2_0_0__150000&from=searchresults
Olive Hotel Magrath by Embassy Group,"Bangalore Shopping Area, Bangalore (Bangalore Shopping Area)","₹ 2,946",Very Good ,8.2,886 reviews,https://www.booking.com/hotel/in/olive-magrath.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=af404f13b3630c1b&srepoch=1749986088&all_sr_blocks=713913301_370114609_2_2_0&highlighted_blocks=713913301_370114609_2_2_0&matching_block_id=713913301_370114609_2_2_0&sr_pri_blocks=713913301_370114609_2_2_0__294640&from=searchresults
Olive Zip Koramangala 4th Block by Embassy Group,"Koramangala, Bangalore","₹ 1,930",Very Good ,8.1,162 reviews,https://www.booking.com/hotel/in/olive-koramangala-4th-block-by-embassy-group.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=af404f13b3630c1b&srepoch=1749986088&all_sr_blocks=1178984501_390389008_2_0_0&highlighted_blocks=1178984501_390389008_2_0_0&matching_block_id=1178984501_390389008_2_0_0&sr_pri_blocks=1178984501_390389008_2_0_0__193040&from=searchresults
ibis Bengaluru Hosur Road - An Accor Brand,Bangalore,"₹ 4,700",Good ,7.8,559 reviews,https://www.booking.com/hotel/in/ibis-bengaluru-hosur-road.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=af404f13b3630c1b&srepoch=1749986088&all_sr_blocks=37487902_95454128_2_42_0&highlighted_blocks=37487902_95454128_2_42_0&matching_block_id=37487902_95454128_2_42_0&sr_pri_blocks=37487902_95454128_2_42_0__470000&from_sustainable_property_sr=1&from=searchresults
"Welcomhotel by ITC Hotels, Richmond Road, Bengaluru","MG Road, Bangalore (Bangalore Shopping Area)","₹ 9,350",Very Good ,8.1,"1,426 reviews",https://www.booking.com/hotel/in/my-fortune-bengaluru.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av7PtcIGwAIB0gIkNGJhYTRjMjAtYjBmOS00NGY5LTk4MzUtNGJmNDM4N2ZhZTcz2AIF4AIB&sid=c6875ebb136d9b44a015abaafe60323b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-02&dest_id=-2090174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=af404f13b3630c1b&srepoch=1749986088&all_sr_blocks=106640509_412211631_2_41_0&highlighted_blocks=106640509_412211631_2_41_0&matching_block_id=106640509_412211631_2_41_0&sr_pri_blocks=106640509_412211631_2_41_0__935000&from=searchresults
